YEAR,ECO10,ECO3,HUC4,AG_TOT,ANC,CA,CL,COND,DOC,FOR_TOT,Sodium,NH4,NO3,NTL,PH,SIO2,TSS,TURB,URB_TOT
2003,XE-SOUTH,XE,1602,4.41,3167.6,2419.2,1412.6,479.1,2.68,17.85,1248.4,2.1,7.9,753,8.53,5.86,3.6,2.94,0.18
2003,XE-SOUTH,XE,1601,1.64,4791.8,3274.9,280.4,513.1,1.33,31.58,317.8,0.8,28.6,609,8.07,7.91,4.8,0.751,0.58
2003,XE-EPLAT,XE,1407,0.54,2808.9,2515,519.8,492.3,1.58,21.51,856,0.3,0,219,8.36,14.36,65.6,47.1,0.05
2003,XE-EPLAT,XE,1501,0,5063.7,2459.1,216.1,463.5,1.3,57.49,171.9,0.4,0,103,8.31,9.24,6.2,2.01,0.14
2001,XE-SOUTH,XE,1606,0,3902.5,2819.9,68.8,438.1,0.8,55.81,213.9,0.3,11.4,234,8.48,13.11,10.1,1.04,0
2003,MT-SROCK,MT,1406,0.07,162.2,119.9,24.3,26.42,1.07,67.06,48.6,0.4,14.3,249,6.93,4.13,0.2,0.493,0
2003,XE-EPLAT,XE,1602,0,5977,3762.5,221.4,571.2,4.61,83.28,518.9,0.4,2.9,505,8.08,11.54,87.5,51.9,0
2003,MT-SROCK,MT,1602,0,4235.4,2936.6,165.6,456.9,1.13,67.3,317.1,0.7,2.1,123,8.3,10.63,2.4,0.329,0
2003,MT-SROCK,MT,1603,0,2779.1,1528.9,101.8,277.4,3.27,87,858.7,0.6,0,124,8.12,31.17,4.4,1.66,0
2003,XE-EPLAT,XE,1501,0.01,3893.4,2457.1,66,404.5,1.65,74.87,295.7,0.3,0,165,8.46,10.59,14,5.59,0
2003,MT-SROCK,MT,1407,0.19,1187.4,673.2,47.7,125.5,1.22,52.74,135.5,0.4,8.6,249,8.18,30.58,4.1,0.874,0
2003,XE-SOUTH,XE,1602,0,543.7,321.5,76.4,66.57,1.37,70.46,241.8,1.1,2.9,165,7.6,13.95,2.8,1.37,0
2003,MT-SROCK,MT,1406,0.11,122.1,106.1,11.3,21.8,0.92,44.32,25.4,0.4,20.7,383,6.95,3.01,0.4,1.2,0
2001,MT-SWEST,MT,1502,0.19,1627.8,637.5,38.6,159.4,0.67,84.04,391.1,1.8,3.6,155,7.77,26.74,15,10.4,0.15
2003,XE-SOUTH,XE,1602,7.51,5609.4,5713.6,9197.4,2025,2.12,43.09,9199.8,6,67.1,2038,7.8,38.24,48.1,30.1,2.5
2003,XE-EPLAT,XE,1407,0,2326.8,1443.1,99.3,262.4,4.39,39.14,203.7,0.4,0,963,8.27,22.98,173.2,75.1,0
2003,XE-NORTH,XE,1704,0,2131.5,2209.6,1126.5,376.5,1.31,0.24,846,0.5,34.3,648,8.1,21.59,4.9,1.26,0
2002,MT-PNW,MT,1710,0.05,453.2,278,48.8,59.5,0.36,94.32,166.4,0.6,25.7,383.75,6.45,17.42,0.84,0.073,0.08
2002,MT-PNW,MT,1702,0,273.8,198.2,7.9,40.72,0.62,72.98,62,0.4,2.9,66.25,7.52,9.98,1.44,0.111,0
2002,MT-PNW,MT,1711,0.11,417.1,288.9,32.2,50.79,0.79,81.05,132.1,0.6,0,42.5,7.64,15.07,1.92,0.257,0.26
2002,MT-PNW,MT,1702,0,483.1,322.3,67.4,61.37,0.85,84.21,137.4,0.4,1.4,33,7.25,9.75,10.24,0.217,0.07
2002,MT-PNW,MT,1702,0,2463.1,883.2,13.3,231,0.83,70.7,64,0.4,1.4,38.125,8.08,19.66,1.3,0.172,0
2002,MT-PNW,MT,1711,0,765.6,455.8,172.6,121.2,3.8,97.29,438,0.9,78.5,1241.875,7.49,7.5,1.08,0.256,0
2002,MT-PNW,MT,1711,0.04,317.6,145,18.5,35.34,0.88,76.56,111.7,0.3,3.4,66,7.5,26.51,1.56,0.306,0.02
2002,MT-PNW,MT,1711,0,87.8,62.7,8.7,12.4,0.92,72.3,31.7,0.3,2.1,34.375,7.11,4.65,0.2,0.113,0
2002,MT-PNW,MT,1702,0,656,502,5.6,70.4,0.82,71.87,99.4,0.4,0,64,7.87,16.79,0.64,0.12,0
2002,MT-PNW,MT,1702,0,88.2,74.2,4.5,13.71,0.34,54.23,17.8,0.4,2.1,39,7.03,4.38,0.24,2.46,0
2002,MT-PNW,MT,1702,0,1867.5,903.7,33,183.9,0.75,68.66,94.8,0.6,0,46,8.35,15.71,1.64,0.124,0.39
2002,MT-PNW,MT,1702,0,1816.2,849.3,32.7,176.2,0.67,68.36,87.8,0.6,1.4,41,8.31,15.68,0.5,0.142,0.34
2002,MT-PNW,MT,1702,0,3326.3,1685.1,19.7,313,1.72,74.44,397,0.4,0,50,8.37,15.93,20,0.12,0.18
2002,MT-PNW,MT,1702,0,179.2,151.6,6.2,22.93,0.39,65.71,29.1,0.4,3.6,46.875,7.17,7.54,1.8,2.19,0
2002,MT-PNW,MT,1702,0,158.1,151.1,10.2,27.4,0.52,69.47,48.9,0.4,4.3,55,7.38,7.35,1.6,0.109,0
2002,MT-PNW,MT,1702,0,153.4,79.1,7.1,24.06,0.82,87.91,55,0.4,1.4,46.875,7.2,11.92,2.16,0.102,0
2002,MT-PNW,MT,1711,0,264.5,213.7,21.5,37.95,0.37,77.37,69.9,0.2,4,35,7.36,6.23,1.16,0.197,0.02
2002,MT-PNW,MT,1702,0,2726.1,1318.4,22,255.9,1.49,89.17,440.6,0.4,0,86.875,8.17,21.05,2.68,0.266,0.01
2002,MT-PNW,MT,1710,0,259.3,217.7,103.2,56.39,1.03,73.94,192.2,0.6,2.9,99.375,7.16,7.26,5.28,0.47,0
2002,MT-PNW,MT,1710,0,551.1,246.4,144.1,76.42,3.86,76.38,331.2,2.9,5,210,6.96,10.79,3.68,7.04,0.03
2002,MT-PNW,MT,1708,0,334.2,286.9,16.4,46.01,0.51,94.22,99.9,0.5,2.9,46,7.61,12.14,2.52,0.113,0
2002,MT-PNW,MT,1702,0,350.2,114.1,5.4,35.63,0.32,54.67,9.2,0.3,0,27.5,7.7,4.21,2.36,0.113,0
2002,MT-PNW,MT,1708,0,313.8,265,18.5,36.97,0.27,76.45,69.1,0.3,1.7,24,7.57,7.56,0.36,0.184,0
2001,MT-PNW,MT,1709,0,337.9,200.7,20,34.94,0.85,96.66,109.3,0.4,2.1,55,7.65,9.54,0.1,0.093,0
2002,MT-PNW,MT,1702,0,167.4,77.3,8.2,19.38,1.41,81,77.1,0.5,0,40,7.29,13.28,1.16,0.173,0
2002,MT-PNW,MT,1702,0,200.6,181.6,5,26.32,0.39,49.84,25.6,0.4,6.4,87.5,7.37,6.3,0.04,0.112,0
2002,MT-PNW,MT,1702,0,367.8,300.4,9,41.45,0.59,69.98,42.1,0.4,1.6,21,7.71,5.46,0.8,0.107,0
2002,XE-NORTH,XE,1707,98.24,4656.9,2331.3,229,510.3,1.58,0.01,1363.2,0.7,360.4,5541,8.06,44.35,0.24,0.4,0.89
2002,XE-NORTH,XE,1701,76.71,2105.4,1121.3,76.2,224.8,1.55,14.58,524.6,0.8,117.5,2003.75,8.22,39,10.2,0.489,1.26
2002,MT-NROCK,MT,1702,0,3266.9,2353.8,13.9,303.1,1.46,98.34,157.8,0.3,3.1,72.5,8.14,18.11,1.88,0.188,0
2002,MT-PNW,MT,1702,0,453.7,197,13.5,49.33,0.75,75.57,42.8,0.4,1.8,44.375,7.73,8.05,1.28,0.131,0
2002,MT-PNW,MT,1702,0,593,515.5,5,67.57,0.37,58.46,47.4,0.2,2.5,18,7.8,9.03,0.48,0.106,0
2002,MT-PNW,MT,1702,0,195.3,115.6,14.2,28.19,1.02,91.98,71.6,0.4,3.6,80,7.39,9.54,0.28,0.127,0
2002,XE-NORTH,XE,1703,9.74,1003.9,584.8,73.6,118.2,1.38,45.18,277.9,0.9,18.6,396.25,8.58,14.49,3.24,1.84,1.77
2002,XE-NORTH,XE,1702,0.94,209.4,126.6,9,26,0.85,72.3,34.1,0.5,3.6,75,7.61,6.51,4.04,0.676,0.26
2002,MT-SROCK,MT,1301,0.07,641.1,431.8,6.8,70.05,0.51,65.53,101.4,0.4,5.7,105.625,7.98,12.29,0.68,0.159,0
2002,XE-EPLAT,XE,1405,2.19,3686.5,3823.3,266.5,632.9,2.2,57.11,1268.8,0.4,2.2,198.75,8.45,13.41,32,5.15,0.11
2002,MT-SROCK,MT,1018,4.37,849.8,634.2,7.1,103.2,4.63,85.08,133.9,1.1,1.4,243.75,7.8,7.43,1.44,2.56,0.2
2002,MT-SROCK,MT,1401,0.25,2996.7,2040.4,25.9,282.4,0.93,46.08,46.5,0.4,2.9,109.375,8.6,3.28,1.64,0.158,0
2002,MT-SROCK,MT,1301,0.38,1897.9,1345.3,64,201,3.62,73.57,311.4,0.6,5.7,223.75,8.01,34.49,1.36,0.373,0
2002,XE-EPLAT,XE,1408,3.31,4658.1,16202.5,407.3,2073,4.76,75.17,2948.7,0.6,2.9,262.5,7.96,11.97,3.12,1.31,0.06
2002,MT-SROCK,MT,1402,0,412.8,317.4,7.9,47.22,3.03,68.94,76,0.4,0,132.5,7.63,23.83,1.92,0.831,0
2002,MT-SROCK,MT,1019,9.38,1275.8,1018.5,28.5,176.4,3.16,34.32,247.1,0.4,7.9,181.25,8.35,7.91,1.88,1.42,0.13
2002,MT-SROCK,MT,1401,0.04,354.7,305.1,10,56.1,1.06,30.99,32.2,0.3,11.9,223,7.72,2.49,0.76,0.582,0
2002,PL-RANGE,PL,1019,3.91,1334.1,995,202,178.8,2.47,68.15,421.5,3.1,4.3,166.25,7.47,14.17,3.44,6.82,0.51
2002,MT-SROCK,MT,1401,0.26,1245.3,779.9,19.7,136,1.95,90.63,372.1,0.3,0,114,8.12,12.33,0.56,1.21,0.05
2002,PL-RANGE,PL,1102,0.34,1802,1721.1,471.6,262,2.18,89.47,546.3,1.6,6.4,275,7.76,20.86,15.48,1.06,0.8
2002,PL-NCULT,PL,1102,45.86,5785,15858.2,2279.6,3029,3.5,0,13580.1,1.3,150.6,2436,7.33,31.24,5.48,0.565,0
2002,PL-RANGE,PL,1019,5.28,2215.8,2387.7,314.5,409.4,2.08,54.97,884.7,0.5,2.9,127.5,8.07,16.03,3.2,1.4,0.41
2001,XE-NORTH,XE,1707,1.68,4358.7,1904.8,276.1,453.9,4.87,0.32,1575.7,5.6,17.1,1096,7.27,47.77,7.7,2.05,0
2002,PL-RANGE,PL,1102,4.64,6876,17090.8,2485.8,3606,4.6,19.14,16285.7,1.6,238.4,3636,7.78,25.59,3.56,0.611,1.4
2002,PL-NCULT,PL,1025,53.99,4007.1,2154.7,191.9,405.8,2.6,0.01,786,0.6,25.3,655,8.15,44.47,8.4,10.9,0
2002,XE-EPLAT,XE,1402,3.08,2092.2,2015,165.9,354.1,2.24,57.56,679.9,0.5,0,195,8.73,10.52,7.08,1.46,0.09
2002,XE-EPLAT,XE,1402,5.5,3065.1,5898.2,274.2,1046,3.46,52.7,2915.2,1.3,74.2,1361.25,8.48,10.33,25.92,20,0.19
2002,PL-NCULT,PL,1019,2.76,3544.5,3112.3,2869.1,1005,8,42.77,4732.6,383.8,293.9,12963,7.68,10.77,15.32,2.64,8
2002,PL-NCULT,PL,1019,2.71,3124.4,2508.5,2276.9,818,10.53,42.95,3760.8,393.4,209.1,11075,7.36,9.7,20.4,6.44,7.74
2001,MT-PNW,MT,1712,0,3388.2,1946.1,33,326.7,2.33,92.12,574.1,0.4,0,133,8.25,52.8,5.7,0.557,0
2002,MT-SROCK,MT,1401,2.46,2043.3,2231.5,100.8,382.3,4.2,60.5,767.7,0.7,0,304,8.61,10.53,24.8,24.4,0.54
2002,MT-NROCK,MT,1012,4.31,5257.4,23837.2,368.7,2757,3.52,42.22,2617.3,1.4,102.1,1735,7.69,17.24,0.4,0.66,0
2001,MT-PNW,MT,1709,50.44,1051.1,505.4,137.1,127.6,2.47,46.59,414.1,1.1,5.7,275,7.42,18.43,6.9,4.88,0.07
2002,MT-SROCK,MT,1018,0.75,2166.8,1461.6,44.8,219.4,3.13,56.71,325,1.7,2.1,418.75,7.4,19.62,35.72,2.76,0
2002,XE-EPLAT,XE,1018,0.22,2492.3,18567.8,142.7,1884,1.24,0.01,806.5,0.9,15,395,8.28,19.94,5.16,1.59,0
2002,MT-NROCK,MT,1008,0,180.9,141.1,7.1,25.31,1.24,29.2,27.5,0.5,2.1,136.875,7.61,1.61,2.76,0.598,0
2002,MT-NROCK,MT,1404,0,3170,2715.6,18.9,340,1.74,56.71,78.7,0.9,1.4,181.875,8.56,5.49,1.84,1.39,0
2002,XE-EPLAT,XE,1008,0.84,4610.5,4171.1,20,558.1,0.91,29.79,135.3,0.6,20,350.625,8.21,11.55,0.08,2.54,0
2002,MT-NROCK,MT,1404,0,133.8,111.8,4.8,17.96,0.91,13.38,25.6,0.4,2.1,130.625,7.29,1.35,0.28,0.229,0
2002,MT-NROCK,MT,1704,0,1017.3,750,8.7,110.6,1.49,61.72,104.7,0.4,0,158.125,7.65,5.7,9.24,1.01,0
2001,MT-NROCK,MT,1706,0,453.5,227.7,13.8,48.85,1.79,94.33,115.6,1.5,4.3,314,7.15,27.16,0.2,0.322,0
2002,MT-NROCK,MT,1404,0,645.4,518,5.9,76.39,0.77,11.88,40.8,0.7,5.7,181.25,7.92,3.7,2.84,0.39,0
2002,MT-NROCK,MT,1008,0,151,116,7.1,20.97,2.18,35.84,39,0.6,2.9,104,7.44,2.82,1.16,0.155,0
2002,XE-EPLAT,XE,1007,0.72,932.7,673.2,7.6,108.7,0.96,47.23,148.9,0.6,4.3,105.625,8.33,6.17,102,22.5,0.01
2002,XE-EPLAT,XE,1018,2.54,2763.5,2635.7,282.3,536.4,4.55,10.65,1599,0.8,3.6,378.75,8.87,11.04,3.88,5.62,0.13
2001,XE-SOUTH,XE,1503,0.01,3706.6,1149.9,981.6,529,3.6,35.4,2929,1.3,4.3,410,8.83,23.99,6.2,2.85,0.04
2002,PL-NCULT,PL,902,73.12,6416.2,3978.5,1103.7,1188,8.18,2,5245.9,0.9,0,982.5,8.45,19.82,31.96,27,0.42
2002,PL-NCULT,PL,901,66.21,8423.5,4324.8,992.3,1689,15.41,0.66,9526.1,2.5,0,1425,8.19,9.05,14.72,11.6,0.87
2002,PL-NCULT,PL,902,92.53,6968,7844.3,2622,2022,10.57,1.09,6777,10.1,27.1,1559,8.23,14.56,64.64,14.7,0.44
2002,PL-NCULT,PL,1016,56.96,7592.3,4071.3,568.5,1496,19.41,1.11,5411.2,2.3,5,2261,8.63,8.61,46.72,16.8,0.3
2002,PL-NCULT,PL,1016,50.2,7299.2,967.6,802.9,1843,28.77,1.16,9639.2,2.9,5,3410,8.37,7.67,21.6,5.31,0.18
2002,PL-RANGE,PL,1013,46.92,10680.3,2050.9,397.4,1455,11.21,0,11870.6,1.1,0,771.875,8.34,6,3.96,4.2,1.3
2002,PL-RANGE,PL,1013,60.6,7900.7,2948.1,583,2090,8.27,0.02,13762.8,0.9,0,811.875,8.54,7.28,56.84,26,0.15
2002,PL-RANGE,PL,1013,41.72,7899.2,4381.7,547.8,1340,9.58,0.28,5915.7,1.9,2.9,971.875,8.21,15.66,25,5.95,0.21
2001,MT-PNW,MT,1709,5.34,504.7,333.7,49.4,61.57,1.69,84.77,149.8,1,7.1,221,8.51,12.08,0.6,1.78,0.81
2002,PL-NCULT,PL,902,89.6,4871.5,4102.8,320.9,699.2,4.25,0.88,1261.9,1.4,3.4,404,8.31,24.16,3.48,2.01,0.51
2002,PL-NCULT,PL,902,97.49,6015.8,6397.2,401.1,1248,10.22,0.81,2316.7,5.4,1.9,1154,7.84,26.63,31.92,26.1,0.35
2002,PL-NCULT,PL,902,73.12,6286.3,4116.8,1071.3,1193,8.13,2,5193.7,0.9,0,1062.5,8.49,20.2,30.84,24.6,0.42
2002,PL-NCULT,PL,1016,72.38,6372.4,3267,1197.3,1154,9.19,0.98,4819.6,23,7.1,2118.75,8.23,14.25,106.8,72,0.37
2002,PL-NCULT,PL,902,73.62,4265.7,2968.6,451.3,569.9,11.15,6.5,892.1,3,21.4,1361,8.21,15.21,235.8,183,0.74
2002,PL-NCULT,PL,902,91.6,4789.2,4410.7,480.3,913.7,4.92,1.43,2163.6,1.9,7.9,671.25,8.46,9.15,7.2,1.04,0.33
2002,MT-SWEST,MT,1506,0,4048.3,2389.7,180.5,401.4,1.92,87.17,223.2,0.6,0,420.625,8.45,12.35,29.96,23.6,0.22
2002,MT-SROCK,MT,1602,2.32,3601.7,3998,3408.5,817.7,2.81,59.19,2563.8,0.8,13.5,504.375,8.3,4.23,3.6,0.908,1.25
2002,MT-SROCK,MT,1602,0,2056.9,1571.4,50.9,241.8,2.95,79.34,89.5,0.4,6.6,221,8.21,6.13,5.4,1.13,0
2001,MT-PNW,MT,1710,5.25,604,272.7,103.8,76.58,1.32,84.47,262.9,0.6,0,188,8.83,21.28,0.3,0.645,0.58
2001,MT-PNW,MT,1710,6.98,765.8,362.5,62.3,86.47,1.32,80.41,227.5,0.9,10.7,331,8.27,28.06,5,1.57,1.15
2001,MT-PNW,MT,1707,0.03,302.3,110,3.9,28.33,0.64,67.56,92.2,0.4,0,55,7.55,12.91,0.1,0.161,0.03
2000,MT-PNW,MT,1802,0,988.6,504.6,11,97.96,0.67,80.5,196.9,0.4,3.6,66,7.78,40.02,3.2,0.35,0
2001,MT-NROCK,MT,1707,0,4206.7,2324.3,63.7,354.1,2.91,80.11,716.8,1.2,0,259,8.24,27.26,5.3,3.2,0
2002,XE-CALIF,XE,1807,0.08,4835,4431.6,2045.2,942.1,3.12,16.08,2174.2,0.3,0,174.375,7.71,39.69,2.5,0.758,1.83
2002,MT-SWEST,MT,1807,0.38,1522.4,1314.9,430.5,311.7,2.19,56.16,1064.4,0.3,0,140.625,8.07,36.38,1.6,0.343,1.96
2002,MT-SWEST,MT,1807,0.26,1537.6,1292.9,450.4,316.7,3,47.49,1072.4,0.5,0,193.125,7.69,34.95,1,0.412,1.36
2002,MT-SWEST,MT,1807,2.58,2486.9,1316.4,647.2,379.1,1.81,17.65,1722.7,2.5,5.7,225.625,8.09,18.06,1.84,1.09,0.21
2002,MT-SWEST,MT,1807,0.83,4981,4038.4,1627.8,921,1.58,25.82,3204.9,0.4,0,124.375,8.2,25.58,2.12,0.16,0.57
2002,MT-SWEST,MT,1807,0.06,3049.1,4182.1,108.3,618.5,0.68,28.82,1131.8,0.4,4.3,110,7.99,12.41,27.4,1.97,0
2002,XE-CALIF,XE,1807,68.2,5794.6,20738.4,5447.4,3903,3.54,1.64,16669.2,6.6,3256.4,49719,7.82,41.6,5.92,2.45,10.89
2002,MT-SWEST,MT,1807,15.69,4093.6,4948.1,218,909.5,1.51,23.04,2692.9,0.7,102.1,1639.375,8.32,19.8,8.32,0.295,0.14
2002,XE-CALIF,XE,1806,0.1,6641.3,5289.4,448.3,1171,2.86,39.95,1744.9,0.6,0,153.75,8.46,32.18,3.52,0.435,0.04
2002,MT-SWEST,MT,1807,0.16,3187.5,2873.2,113.1,420.5,1.07,66.17,587.2,0.8,14.3,226.25,8.42,16.69,5.92,0.262,0.13
2001,MT-NROCK,MT,1707,0,819.2,497.6,11,85.2,1.59,86.69,169.9,0.6,3.6,115,7.85,35.63,0.5,1,0
2002,MT-SWEST,MT,1807,0.62,2694.5,1343.3,590.4,363.6,4.03,53.03,1576.7,0.9,0,278.75,7.32,31.92,1.16,0.222,0.05
2002,XE-CALIF,XE,1807,13.13,5875.1,4885.7,7064.5,1942,3.92,8.48,9479.2,1.2,434.8,8063,8.28,22.31,4.64,0.733,19.84
2002,MT-SWEST,MT,1807,0,1841.3,1120.8,73.9,187.1,0.82,33.22,503.6,0.3,5,118.75,7.73,24.9,14.76,1.28,0
2002,MT-SWEST,MT,1806,0,3932.3,4373.7,105.8,716.6,0.76,64.42,869.2,0.2,0,23.75,7.68,16.53,2.24,0.144,0.01
2002,MT-SWEST,MT,1806,0.04,3759.5,5134.7,253,979.4,1.62,49.05,1753.4,0.3,0,90,8.24,16.91,6.28,0.861,0.02
2002,XE-CALIF,XE,1807,14.67,5587,4357.3,7080.8,1927,3.39,8.3,10018.2,10.4,453.1,8756,8.1,28.96,5,1.11,22.34
2002,XE-CALIF,XE,1807,70.02,3990.5,3283.9,3001.4,964,4.4,0.15,4541.2,5.1,397.6,8525,8.36,21.07,39.48,10.5,4.69
2002,MT-SWEST,MT,1807,0,529,348.8,11.8,56.03,0.39,88.11,139.3,0.4,2.9,41.25,7.83,12.39,2.56,0.166,0
2001,MT-NROCK,MT,1707,0,3265,1565,3.9,283.6,2.22,88.94,345.8,0.5,3.6,140,8.26,43.92,2,0.409,0
