STATE,CA,COND,K,MG,Sodium,ANC,CL,CO3,COLOR,DOC,HCO3,NH4,NO3,NTL,PTL,SIO2,SO4,TSS,TURB,AG_TOT,ASPCTDEG,ELEVMEAN,FOR_TOT,KM_SEA,POPDENKM,PRECIP_M,RD_DEN,RNG_TOT,SLOPMEAN,WSAREA,W1_HALL,LAT_DD,LON_DD
WA,1318.4,255.9,30.5,1053,440.6,2726.1,22,39.32777149,13,1.49,2835.832479,0.4,0,86.875,20.99625,21.05,79.1,2.68,0.266,0,331,1182.1,89.17,141,0,0.718,6.18,10.51,21.68,24.655,0.924259091,47.3599,120.45611
WA,217.7,56.39,11,97.2,192.2,259.3,103.2,0.340015733,5,1.03,250.8882068,0.6,2.9,99.375,9.07625,7.26,139.9,5.28,0.47,0,142,313.2,73.94,16,0,3.121,0,0.23,21.49,8.8551,0.484872727,47.69004,124.17229
WA,246.4,76.42,21,157.8,331.2,551.1,144.1,0.422519669,20,3.86,494.1151451,2.9,5,210,37.13875,10.79,47.5,3.68,7.04,0,206,152.5,76.38,18,0,2.125,11.02,0.18,15.27,5.9826,0.742454545,46.91606,123.58942
WA,286.9,46.01,5.7,56.1,99.9,334.2,16.4,1.229773292,0,0.51,321.9632416,0.5,2.9,46,2.926,12.14,88.9,2.52,0.113,0,190,1168.9,94.22,117,0,2.491,0.43,3.16,25.85,33.7566,0,46.20903,121.79269
WA,114.1,35.63,4.5,252.9,9.2,350.2,5.4,1.552725868,5,0.32,330.4273768,0.3,0,27.5,0.4425,4.21,23.7,2.36,0.113,0,26,1799.8,54.67,96,0,2.616,0,15.38,28.19,0.6964,0,47.54551,121.04039
WA,265,36.97,5.1,31.9,69.1,313.8,18.5,1.006001863,0,0.27,288.7885828,0.3,1.7,24,0.976,7.56,27.8,0.36,0.184,0,118,1422.9,76.45,85,0,2.113,1.6,15.14,24.94,126.6447,0.33335,46.77709,121.55199
OR,200.7,34.94,5.1,55.7,109.3,337.9,20,1.236,5,0.85,295.094,0.4,2.1,55,3,9.54,13.5,0.1,0.093,0,121,1076,96.66,134,0,2.447,0,2.96,29.81,0.852,0,44.86339,122.27982
WA,77.3,19.38,8.9,30,77.1,167.4,8.2,0.292735566,10,1.41,160.1241083,0.5,0,40,4.5725,13.28,7.5,1.16,0.173,0,80,1344.6,81,101,0,1.421,0,5.51,12.9,1.0289,1.5,47.76982,120.84474
WA,181.6,26.32,17.9,30.4,25.6,200.6,5,0.435032281,15,0.39,197.9259413,0.4,6.4,87.5,0.50875,6.3,43.4,0.04,0.112,0,68,1641,49.84,96,0,1.562,0,34.56,35.83,1.479,0,48.03268,120.86401
WA,300.4,41.45,14.3,50.5,42.1,367.8,9,1.702523864,5,0.59,354.058025,0.4,1.6,21,0.973,5.46,35.7,0.8,0.107,0,32,1583.4,69.98,90,0.047,2.746,0,15.41,26.86,21.1333,0,47.64945,121.06659
WA,2331.3,510.3,138,1616.5,1363.2,4656.9,229,45.34086126,5,1.58,4211.831611,0.7,360.4,5541,33.425,44.35,422,0.24,0.4,98.24,280,333.8,0.01,329,1.143,0.47,9.09,0.87,3.7,27.9905,1.5084,46.12959,118.40646
WA,1121.3,224.8,81.5,688.7,524.6,2105.4,76.2,32.35055318,5,1.55,2079.040482,0.8,117.5,2003.75,86.1,39,170.7,10.2,0.489,76.71,79,759,14.58,339,2.992,0.415,11.61,6.35,3.35,96.5938,0.575786364,47.73425,117.66951
WA,2353.8,303.1,41.1,874.5,157.8,3266.9,13.9,41.1677589,5,1.46,3180.815359,0.3,3.1,72.5,15.825,18.11,77.9,1.88,0.188,0,307,1314.4,98.34,338,1.538,1.233,22.41,0,13.66,1.9503,1.727359091,48.76751,117.75771
WA,197,49.33,24.5,247.9,42.8,453.7,13.5,2.206429035,5,0.75,438.1988145,0.4,1.8,44.375,0.9375,8.05,44.2,1.28,0.131,0,106,1501.4,75.57,103,0.023,2.263,0.35,15.41,26.14,214.5843,0.6667,47.61033,120.89884
WA,515.5,67.57,13.8,104.6,47.4,593,5,3.230161587,5,0.37,546.0161427,0.2,2.5,18,1.714,9.03,70.5,0.48,0.106,0,235,1904.9,58.46,99,0,1.126,0,24.22,29.17,3.8718,0.712145455,48.09626,120.82736
WA,115.6,28.19,20.8,51.9,71.6,195.3,14.2,0.430552665,5,1.02,187.0714517,0.4,3.6,80,3.77125,9.54,45.2,0.28,0.127,0,110,1320.4,91.98,80,0,2.646,0,5.79,20.41,8.8953,0,47.86274,121.10128
WA,584.8,118.2,30.5,356.4,277.9,1003.9,73.6,33.72363844,10,1.38,946.0534174,0.9,18.6,396.25,31.82625,14.49,106.4,3.24,1.84,9.74,142,1010.6,45.18,195,15.842,0.951,12.91,36.56,13.67,9728.1756,1.9016,46.3601,120.20952
WA,126.6,26,17.5,80.9,34.1,209.4,9,0.747725748,5,0.85,195.759826,0.5,3.6,75,5.1025,6.51,32.3,4.04,0.676,0.94,149,1252.9,72.3,137,2.468,1.499,6.94,16.78,24.31,3081.5767,3.787990909,47.52283,120.47733
OR,1904.8,453.9,104.5,1255.5,1575.7,4358.7,276.1,6.665,10,4.87,3817.754,5.6,17.1,1096,227,47.77,200.9,7.7,2.05,1.68,307,989.8,0.32,311,0.25,0.443,6.59,97.99,10.53,79.9168,1.83335,45.36827,119.44512
OR,1946.1,326.7,66.7,1000.1,574.1,3388.2,33,55.314,5,2.33,3317.513,0.4,0,133,153,52.8,90.2,5.7,0.557,0,59,1910.1,92.12,300,0,0.689,16.85,7.95,16.41,2.5705,2.1667,42.56842,120.53169
OR,505.4,127.6,22.7,348.6,414.1,1051.1,137.1,2.57,10,2.47,1041.991,1.1,5.7,275,25,18.43,55.6,6.9,4.88,50.44,190,168,46.59,65,21.52,1.31,18.27,1.87,8.3,11.7149,2.16675,45.33711,123.05414
OR,227.7,48.85,28.6,131.8,115.6,453.5,13.8,0.537,10,1.79,405.588,1.5,4.3,314,7,27.16,10.6,0.2,0.322,0,344,1615.3,94.33,490,0,0.929,26.28,5.74,11.14,4.2784,1.075768182,45.11462,116.85546
OR,333.7,61.57,13,119.6,149.8,504.7,49.4,14.137,15,1.69,465.956,1,7.1,221,22,12.08,31,0.6,1.78,5.34,309,635.5,84.77,81,12.781,1.509,16.47,6.69,16.87,1490.5186,2.037918182,43.94272,122.98016
