AG_TOT,ANC,ASPCTDEG,CL,COND,DOC,ELEVMEAN,FOR_TOT,KM_SEA,LAT_DD,LON_DD,Sodium,NH4,NO3,NTL,PHSTVL,POPDENKM,PRECIP_M,PTL,RD_DEN,RNG_TOT,SIO2,SLOPMEAN,SO4,STATE,TSS,TURB,URB_TOT,W1_HALL,WSAREA
0,679.9,121,253.9,97.97,0.98,1805.4,82.1,90,41.13503,122.8037,277.2,0.6,2.1,75,8.02,0.198,1.152,3.2275,0,16.55,17.75,19.78,31.4,CA,0.44,0.188,0,0,25.2628
0,3795.9,121,26.2,407.4,0.94,1027.6,79.45,72,41.81902,122.81502,436.3,0.5,2.1,126.25,8.01,0.219,0.782,58.555,13.46,17.48,27.18,21.36,600.9,CA,14.72,1.75,0,0.365095238,9.1154
1.05,5432.1,121,296.7,540.8,1.24,1019.1,48.53,62,41.74725,122.62649,550.7,20.2,80,1539.375,7.71,97.103,0.568,348.9825,24.97,41.34,33.66,13.75,288.8,CA,3.68,0.711,7.7,1.18945,78.3575
0.35,1144.5,122,77,120.3,0.76,1260.4,87.82,48,41.09208,122.20131,285.9,0.6,1.4,81.875,8.23,7.348,1.429,11.845,19.41,6.78,28.77,14.69,63.1,CA,0.36,0.517,0.95,0.227277273,236.53
5.48,3262.5,122,588.1,373,1.9,321.5,67.64,59,38.50417,122.7871,831.7,1.1,3.6,295.625,7.58,46.199,1.086,64.8975,16.16,25.75,40.27,14.31,124.3,CA,4.96,0.529,1.05,1.0455,111.6929
0,533.1,121,81.5,64.24,0.62,1963.4,51.26,104,41.05071,122.93366,43.6,0.4,5.7,100,7.22,0.041,1.694,1.15625,2.6,32.84,8.95,24.63,26.2,CA,0.88,0.069,0.01,0,24.1369
0,1974.4,121,80.1,226.4,0.69,636.1,67.8,130,40.22275,123.72062,171.3,0.3,2.1,66.25,8.13,1.075,1.656,10.535,14.57,32.29,12.12,19.75,367.1,CA,7.96,0.347,0,0,3.7191
0,4036.9,122,1279.4,544.7,5.2,819.7,69.92,172,37.46309,119.94873,1601.2,1.4,2.9,706.25,7.9,35.061,0.709,795.57125,23.26,25.23,28,13.06,452.2,CA,2.44,0.592,4.79,0.060609091,45.3499
0,2488,307,173,263.6,1.03,1102.3,75.21,101,40.60279,122.91109,246,0.6,2.8,80,8.23,0.253,1.273,12.056,7.48,24.54,13.88,22.99,135.6,CA,0.48,0.2,0,0.393959091,71.0914
0.06,2934.9,123,347.5,352.2,1.69,1277,44.6,66,34.17289,117.18064,1226.2,1,18.6,418.125,8.12,12.218,0.798,15.1425,9.68,54.71,35.99,23.83,208.6,CA,3.12,0.316,0.23,0.643959091,41.246
0.01,3369.1,123,352.6,410,1.49,1139.3,36.04,69,34.18401,117.25876,1184,0.7,7.9,209.375,7.98,17.625,0.761,12.6275,8.94,63.02,27.08,25.13,408.7,CA,0.24,0.178,0.83,0.704577273,21.5621
5.22,4180.7,123,2568.7,907.9,2.67,1102.6,27.36,52,33.91889,117.60776,3783.5,1,534.7,7744,8.36,350.148,0.566,994.488,30.42,48.77,25.55,13.05,1919.2,CA,9.68,1.6,16.07,0.583359091,2442.5718
0.72,2174.9,123,21.4,238.4,0.64,1929.8,47.43,83,34.25257,117.53174,217.5,0.7,9.3,178.75,8.42,4.638,1.169,12.30875,1.57,50.33,14.19,31.58,260.7,CA,7.2,0.323,0.02,0.136363636,23.4951
1.01,2236.3,123,203.6,245.5,3.54,1205.5,67.07,184,36.05408,118.99364,640.3,1.1,3.6,307.5,8.18,5.427,0.657,86.49125,6.99,30.54,19.25,18.64,102.6,CA,2.04,1.62,0.22,3.068181818,1021.1693
0,1681.8,122,540.7,257.8,0.67,1511.6,73.02,79,39.8693,123.05088,556.8,0.3,1.4,46.25,8.61,0.055,1.817,1.77625,3.91,25.42,7.44,19.11,331.9,CA,0.28,0.266,0,0,492.3019
0,717.7,121,4.5,72.22,1.78,1751.7,51.7,53,39.70044,122.81126,103.6,0.6,0,96.25,6.88,0.091,1.281,5.61625,14.02,48.32,11.67,15.97,11.5,CA,1.84,0.364,0,0.33335,21.9567
0,907.5,121,9.9,93.61,1.27,1751,55.7,56,39.71181,122.8409,102.9,0.5,0,60,8.13,0.062,1.302,7.22375,16.27,44.18,11.11,15.9,44.3,CA,1.32,0.2,0,0.068181818,32.3014
0,654.6,121,31.3,75.93,0.89,1049.7,48.05,108,40.29079,123.45477,159,0.9,1.4,98.75,7.53,1.35,1.527,12.06625,12.81,51.69,7,13.86,68.3,CA,0.64,0.344,0.05,0.33335,22.963
0,2503.1,121,169.8,280.9,1.19,715.4,50.05,153,40.59509,123.91843,397.6,0.5,1.4,75.625,8.36,0.14,1.586,3.81125,9.68,49.93,9.28,15.57,371.8,CA,0.16,0.638,0,0.128790909,114.3091
0,837.9,121,121,99.74,0.79,364.6,93.66,146,40.03758,123.88138,314.4,0.4,0,37.5,7.67,2.057,1.711,38.42625,3.8,6.34,17.2,20.34,42.9,CA,0.76,0.224,0,0.33335,19.4452
3.68,306.6,121,260.9,66.87,3.44,100.8,81.47,179,40.93151,124.07934,361,1.1,20,439,7.17,48.696,1.23,20.735,2.37,14.37,17.35,8.37,26.6,CA,12.4,12.3,0.47,2.212204545,3.4499
0,756.7,121,24.8,77.83,0.64,1334.4,90.64,151,41.15445,123.56903,117.3,0.6,3.6,96,7.95,0,2.364,7.583,11.44,8.18,20.06,19.75,18.9,CA,1.52,0.137,0,0,43.4265
0,2085.9,121,16.9,213.8,0.61,1024.3,67.67,129,41.24444,123.32795,115.7,0.2,2.5,50,8.13,0.144,1.342,11.399,18.82,31.29,11.76,26.39,246.1,CA,3.88,0.408,0,0.33335,6.9523
0.13,696.7,121,111.4,96.66,0.67,785.8,91.66,168,41.11777,123.81514,218.8,0.3,7.9,181.25,7.2,0,1.919,12.69125,24.12,8.09,9.17,23.86,128.7,CA,2.92,0.296,0,0,13.4942
0,393.1,121,243.1,75.06,1.49,280.2,92.73,187,41.09051,124.08467,314.9,0.4,12.9,243.75,7.36,1.147,1.602,9.23125,15.59,5.67,11.35,19.28,52.9,CA,1.44,0.429,0.01,0.310609091,8.7215
0,169.8,121,50.5,25.98,0.6,876.6,83.33,168,41.39686,123.83009,90.8,0.4,4.3,90,6.78,0,2.499,4.65875,18.82,14.25,7.71,18.69,19.2,CA,2.08,0.341,0.01,0.348495455,6.5379
0,791.5,121,192.6,101.4,2.8,615.7,90.37,163,40.61985,124.03025,375.3,0.6,2.1,73.125,6.81,0,1.671,86.3625,3.63,7.49,14.8,12.23,51.2,CA,16.44,10.2,0,1.393940909,1.3934
0,385.1,121,121.6,65,0.39,255.1,97.7,171,41.99178,124.18097,189.1,0.3,21.4,349.375,7,0.17,2.218,6.1,19.02,2.12,8.21,16.72,67.7,CA,0.64,0.191,0,0.545454545,23.5093
0,1633.7,121,139.1,181,0.91,622.1,99.7,154,40.31673,123.99758,578.5,0.5,1.4,55.625,7.88,0.81,1.684,38.15875,8.85,0.26,15.13,23.36,85.8,CA,5.68,0.582,0,0,2.4735
0,2531.7,121,74.5,245.8,0.53,1387,85.71,51,39.44159,122.82022,216,0.5,0,32.5,8.26,0,1.426,5.02375,16.06,14.71,14.63,17.01,63.1,CA,2.24,0.291,0,0.068181818,2.4948
6.92,354.5,122,77.3,52.08,1.59,1312.1,64.08,64,38.2095,121.36924,127,0.5,0,117.5,8.19,11.605,1.074,15.1975,13.27,24.63,5.33,13.3,49.8,CA,2.84,1.53,0.69,1.136413636,1899.3889
6.6,1134.9,124,95.9,133.2,1.04,1093.3,52.1,5,39.57528,122.00068,319.5,0.4,9.3,177.5,8.23,8.432,1.429,33.63,11.88,36.75,22.15,9.51,106.4,CA,10.28,2.16,0.58,0.85002,34574.6483
0,1204.1,121,74.5,138.5,0.74,1236.8,82.46,108,40.45212,123.41928,126.2,0.2,0,13.75,8.19,0.197,1.433,5.59625,12.41,15.88,11.47,18.71,130.7,CA,0.16,0.204,0,0.068181818,622.9885
6.03,1063.3,122,57.8,121.1,1.32,1331.9,65.85,166,41.24859,123.77525,164.8,0.4,3.6,92.5,8.1,2.693,0.893,15.54375,11.32,22.76,14.19,12.32,104.9,CA,3.44,1.89,0.26,0.462140909,39452.2296
0,1111.7,122,67.1,117.8,0.53,739.8,93.01,160,41.84402,124.00182,86.5,0,0,17,8.3,0.79,2.813,3.183,7.18,6.59,14.11,23,42.7,CA,0.12,0.163,0.06,1.068213636,758.665
